"Date_Name","subCategory","Purchase_Hour","sales"
"2016-01-21","A",11,5.14
"2016-06-15","A",11,8.07
"2016-07-06","A",11,7.89
"2016-07-27","A",11,5.69
"2016-08-08","A",11,5.38
"2016-09-14","A",11,5.28
"2015-10-05","A",12,5.89
"2016-02-05","A",12,7.38
"2016-05-10","A",12,4.97
"2016-07-05","A",12,7.87
"2016-06-08","A",11,5.83
"2016-06-21","A",11,8.37
"2016-07-20","A",11,6.28
"2016-08-15","A",11,6.08
"2016-08-24","A",11,8.66
"2016-09-23","A",11,11.29
"2016-09-28","A",11,8.57
"2015-11-13","A",12,4.84
"2015-12-07","A",12,5.99
"2016-01-26","A",12,12.03
"2016-02-03","A",12,6.08
"2016-03-09","A",12,8.47
"2016-06-08","A",12,8.25
"2016-06-13","A",12,10.14
"2016-06-17","A",12,6.48
"2016-06-22","A",12,5.57
"2016-07-04","A",12,3.59
"2016-08-03","A",12,4.89
"2016-08-10","A",12,11.94
"2016-08-17","A",12,5.27
"2016-08-31","A",12,9.13
"2016-09-21","A",12,12.92
"2016-09-23","A",12,14.91
"2016-09-27","A",12,7.77
"2015-09-28","A",13,8.14
"2015-10-06","A",13,7.99
"2016-01-04","A",13,6.34
"2016-06-13","A",13,5.74
"2016-06-14","A",13,2.99
"2016-06-15","A",13,4.79
"2016-06-20","A",13,5.48
"2016-06-28","A",13,4.49
"2016-07-18","A",13,4.17
"2016-07-26","A",13,7.26
"2016-09-02","A",13,3.88
"2016-09-19","A",13,6.38
"2015-12-08","A",11,5.04
"2016-01-15","A",11,5.89
"2016-04-07","A",11,10.88
"2016-06-09","A",11,8.08
"2016-06-23","A",11,9.46
"2016-07-04","A",11,3.89
"2016-07-05","A",11,3.98
"2016-07-25","A",11,4.68
"2016-09-01","A",11,13.31
"2016-09-26","A",11,3.59
"2015-10-16","A",12,11.19
"2015-11-23","A",12,2.74
"2016-01-15","A",12,9.24
"2016-06-09","A",12,13.29
"2016-06-10","A",12,7.78
"2016-06-20","A",12,10.77
"2016-06-27","A",12,8.95
"2016-07-08","A",12,6.06
"2016-07-12","A",12,8.06
"2016-07-13","A",12,8.36
"2016-08-05","A",12,9.61
"2016-08-08","A",12,9.94
"2016-08-11","A",12,11.57
"2016-08-12","A",12,7.98
"2016-08-25","A",12,9.27
"2016-06-22","A",13,5.29
"2016-07-07","A",13,6.97
"2016-07-20","A",13,5.44
"2016-09-30","A",13,7.19
"2015-11-17","A",14,2.69
"2016-07-06","A",12,6.08
"2016-07-11","A",12,9.47
"2016-07-14","A",12,8.96
"2016-07-19","A",12,5.07
"2016-07-25","A",12,9.86
"2016-08-04","A",12,11.15
"2016-08-23","A",12,9.25
"2015-12-16","A",13,7.78
"2016-01-06","A",13,5.19
"2016-03-09","A",13,7.49
"2016-04-14","A",13,5.99
"2016-06-09","A",13,7.93
"2016-07-19","A",13,8.28
"2016-08-03","A",13,11.05
"2016-08-30","A",13,3.68
"2016-09-21","A",13,5.46
"2015-11-06","A",11,10.04
"2016-01-22","A",11,7.09
"2016-02-08","A",11,11.63
"2016-02-17","A",11,4.79
"2016-04-04","A",11,4.59
"2016-05-05","A",11,10.28
"2016-06-10","A",11,5.39
"2016-06-16","A",11,4.99
"2016-06-22","A",11,3.88
"2016-06-24","A",11,4.29
"2016-06-29","A",11,8.78
"2016-07-22","A",11,5.59
"2015-12-21","A",12,7.04
"2016-01-08","A",12,7.89
"2016-06-24","A",12,6.58
"2016-07-18","A",12,3.68
"2016-07-22","A",12,4.38
"2016-07-26","A",12,6.49
"2016-07-27","A",12,8.76
"2016-07-28","A",12,8.59
"2016-08-29","A",12,4.67
"2016-09-07","A",12,12.44
"2016-09-09","A",12,7.18
"2015-11-16","A",13,8.94
"2016-02-01","A",13,5.74
"2016-08-02","A",13,4.89
"2016-08-24","A",13,4.79
"2015-10-16","A",6,3.5
"2015-10-22","A",6,1.3
"2015-10-26","A",6,0.5
"2015-10-28","A",6,0.5
"2016-02-02","A",6,2.5
"2016-02-25","A",6,2.2
"2016-04-18","A",6,2.5
"2016-04-27","A",6,2.7
"2016-05-12","A",6,0.5
"2016-06-08","A",6,4.8
"2016-07-20","A",6,4
"2016-08-22","A",6,0.5
"2016-08-29","A",6,1.5
"2016-08-30","A",6,1.3
"2015-10-02","A",7,6.65
"2015-10-08","A",7,2.1
"2015-10-15","A",7,5.6
"2015-10-21","A",7,6
"2015-10-22","A",7,3
"2015-10-27","A",7,2.8
"2015-10-29","A",7,1.5
"2015-11-25","A",7,3.2
"2015-11-26","A",7,5.4
"2015-11-27","A",7,5.5
"2015-12-09","A",7,2.4
"2015-12-10","A",7,2.8
"2015-12-16","A",7,3.1
"2015-12-17","A",7,4.7
"2015-12-18","A",7,3.5
"2016-01-14","A",7,2
"2016-01-18","A",7,2.1
"2015-12-01","A",6,0.5
"2015-12-21","A",6,1.7
"2016-02-04","A",6,2.7
"2016-02-12","A",6,1.5
"2016-03-10","A",6,4.5
"2016-03-24","A",6,3
"2016-04-06","A",6,1.5
"2016-04-19","A",6,2
"2016-04-20","A",6,2.5
"2015-10-06","A",7,4.85
"2015-10-07","A",7,1
